Title,Company,Location,Date,Description,Link
Staff AI/ML Software Engineer,"ServiceNow, Inc.","Remote or West Palm Beach, Florida",Today,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today - ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500 . Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But thi",https://www.dice.com/job-detail/6bc8286d-ab1a-44da-b028-6101b81d8d4f
Machine Learning Engineer (L5) - Content and Studio,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. We are looking for an experienced ML engineer to develop, optimize, and deploy scalable ML solutions that enable self-service of analytics of both structured and unstructure",https://www.dice.com/job-detail/105eda05-0ca5-454d-a808-01064618be5e
"Software Engineer L4/L5, Model Serving Systems, Machine Learning Platform","Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. Machine Learning/Artificial Intelligence powers innovation in all areas of the business, from helping members choose the right title for them through personalization, to bet",https://www.dice.com/job-detail/90d93133-7482-46a7-ac2f-491cb3ce41e1
Biomedical Machine Learning Engineer,"Analog Devices, Inc.","Wilmington, Massachusetts",Today,"About Analog Devices Analog Devices, Inc. (NASDAQ: ADI ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $9 billion in FY24 and approximately 24,000 people globally, ADI",https://www.dice.com/job-detail/8fdebe28-ec1e-47bd-b8db-3c9d82e359e7
Machine Learning Software Engineer (L5) - Promo Media & Marketing,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. At Netflix, our mission is to connect global stories with audiences worldwide. When a Netflix member opens our app, we have a few precious moments to help them choose a stor",https://www.dice.com/job-detail/557b73f5-6bfc-4968-abac-195bb7f3b750
"Machine Learning Engineer, VP",State Street Corporation,"Boston, Massachusetts",Today,"We are seeking a talented Machine Learning Engineer to join our team, focusing on leveraging the Databricks platform to innovate and optimize our trading solutions. As part of our team, you will: Design and Develop Systems: Create robust systems capable of processing large datasets and utilizing them to train sophisticated algorithms.Implement Algorithms: Select and fine-tune algorithms that align with performance objectives, ensuring optimal efficiency and accuracy.Conduct Experiments: Rigorous",https://www.dice.com/job-detail/a0a6d895-e205-42b6-8c14-539d384e7352
Lead ML Software Engineer - Remote,UnitedHealth Group,"Remote or San Diego, California",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us adv",https://www.dice.com/job-detail/99eb0874-423b-457f-8f70-5d849df637c8
"Software Engineer L5, Build and Release Tools, Machine Learning Platform","Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Opportunity The Model Observability & Lifecycle Management team's centralized MLOps platform multiplies the productivity of both the Machine Learning Platform (MLP) org",https://www.dice.com/job-detail/473d4316-87cf-4f95-8f6a-43020568f3c9
AI + Machine Learning Engineer | Secret clearance,General Dynamics,Remote,Today,"Type of Requisition: Regular Clearance Level Must Currently Possess: None Clearance Level Must Be Able to Obtain: Secret Public Trust/Other Required: None Job Family: Artificial Intelligence Job Qualifications: Skills: Artificial Intelligence (AI), Large Language Models (LLMs), Machine Learning Algorithms, Retrieval-Augmented Generation, Solutioning Certifications: None Experience: 10 + years of related experience ship Required: Yes Job Description: Artificial Intelligence + Machine Lear",https://www.dice.com/job-detail/b978775f-4156-4d25-8c97-7d9b8e3e1762
AI/ML Engineer,Lockheed Martin Corporation,"Remote or Cope, Colorado",Today,"Job Description By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our em",https://www.dice.com/job-detail/08c4f408-d54e-43bb-bac8-191ba365f382
Senior AI/ML Engineer - Remote,UnitedHealth Group,"Remote or Schaumburg, Illinois",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health op",https://www.dice.com/job-detail/7e2ff6b0-e706-4e8e-92e2-3ab11751ac4d
Sr. AI/ML Engineer,DigitalOcean,"Boston, Massachusetts",Today,"We want people who are passionate about understanding Generative AI deeply to drive companies forward. We are seeking for a Staff AI/ML Engineer to drive outcomes through teams by leveraging advanced AI/ML knowledge and hands-on research in generative AI. The Applied AI/ML Research team at DigitalOcean is dedicated to being at the forefront of advanced AI/ML innovation. You will engage in researching and benchmarking generative AI models, evaluating technology partners, and playing a key role",https://www.dice.com/job-detail/c4f80822-bc6f-44f8-a444-0b0fc555cdd6
Machine Learning Engineer (L4/5) - Studio Media Algorithms,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Studio Media Algorithms team is at the forefront of innovation to enhance and support the vision of the creators of movies, TV shows and other multimedia work. This team",https://www.dice.com/job-detail/918e9ccf-9599-4ad6-b21d-46042d540a71
Lead/Senior Machine Learning Engineer,"Cisco Systems, Inc.",Remote,Today,"Cisco Meraki is revolutionizing the way IT administrators manage their infrastructure by providing simple and secure cloud-managed solutions. With a large install base of customers and rich multidimensional data sets, the potential for data analytics to improve business performance for both our customers and our own business is enormous. About the role We, the data science team is a growing group that works closely with executives and leaders across the company to support the business strategy.",https://www.dice.com/job-detail/0af5ec45-474e-452e-aafe-a6d7a7cd6161
Managing Machine Learning Engineer,Allstate Insurance Company,Remote or Illinois,Today,"At Allstate, great things happen when our people work together to protect families and their belongings from life's uncertainties. And for more than 90 years our innovative drive has kept us a step ahead of our customers' evolving needs. From advocating for seat belts, air bags and graduated driving laws, to being an industry leader in pricing sophistication, telematics, and, more recently, device and identity protection. Job Description Join Allstate Technology Solutions, a pioneering force com",https://www.dice.com/job-detail/a1bac76d-f868-4da9-bf30-d0e815e36540
Senior Machine Learning Engineer,Draper,"Remote or Reston, Virginia",Today,"Overview: Draper is an independent, nonprofit research and development company headquartered in Cambridge, MA. The 2,000+ employees of Draper tackle important national challenges with a promise of delivering successful and usable solutions. From military defense and space exploration to biomedical engineering, lives often depend on the solutions we provide. Our multidisciplinary teams of engineers and scientists work in a collaborative environment that inspires the cross-fertilization of ideas",https://www.dice.com/job-detail/8b7ad2a3-cd21-46c8-b60b-8fcf723b08bf
Staff AI/ML Software Engineer,"ServiceNow, Inc.","Remote or Atlanta, Georgia",Today,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today - ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500 . Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But thi",https://www.dice.com/job-detail/d1ec77b5-d23d-4630-b5d4-51b36886c0a3
"Research Engineer, Data (Foundational Research, Machine Learning)",Thomson Reuters U.S. Inc.,"Remote or Eagan, Minnesota",Today,"Research Engineer, Data (Foundational Research, Machine Learning) Are you a curious and open-minded individual with an interest in state-of-the-art machine learning engineering and research? Thomson Reuters Labs is seeking a Data Engineer with a passion for solving challenging machine learning problems in a data-rich, complex and innovative environment. What does Thomson Reuters Labs do? We experiment, we build, we deliver. We support the organization and our product teams through foundational",https://www.dice.com/job-detail/ea62e457-b8ca-4dbe-bebd-7eef2672a93a
Machine Learning Engineer III,Wayfair,"Boston, Massachusetts",Today,"Who We Are: Wayfair is one of the world's largest online destinations for home goods. To deliver an exceptional customer experience at scale, we rely heavily on machine learning and AI systems that power everything from delivery date prediction to multi-modal systems for visual diagnostics to agentic workflow automation. As an ML Engineer within the Supply Chain and Retail Tech AI org, you'll be at the forefront of transforming Wayfair Supply Chain and Support operations by developing robust,",https://www.dice.com/job-detail/b9eed58a-1573-401c-8806-206ffe82a77a
Associate Machine Learning Engineer (Remote),Progressive Leasing,Remote or Texas,Today,"Progressive Leasing is a leading provider of in-store and e-commerce lease-to-own solutions. As an almost 20+ year old FinTech company that has gone from start-up to industry leader, we know how to innovate, simplify, and value all people. We are a company founded on our grit and we are constantly looking to the future. As an ever-evolving group of entrepreneurs and technologists, we strive to do the right thing period in all aspects of our work. We are a subsidiary of PROG Holdings (NYSE: PRG),",https://www.dice.com/job-detail/f53e2c46-1afc-4e7a-b745-0661a91d3777
Associate Machine Learning Engineer (Remote),Progressive Leasing,Remote or Arizona,Today,"Progressive Leasing is a leading provider of in-store and e-commerce lease-to-own solutions. As an almost 20+ year old FinTech company that has gone from start-up to industry leader, we know how to innovate, simplify, and value all people. We are a company founded on our grit and we are constantly looking to the future. As an ever-evolving group of entrepreneurs and technologists, we strive to do the right thing period in all aspects of our work. We are a subsidiary of PROG Holdings (NYSE: PRG),",https://www.dice.com/job-detail/10297e2f-b0b1-44c5-a1b5-cf531ced772c
Senior Machine Learning Engineer,Allstate Insurance Company,Remote or Illinois,Today,"At Allstate, great things happen when our people work together to protect families and their belongings from life's uncertainties. And for more than 90 years our innovative drive has kept us a step ahead of our customers' evolving needs. From advocating for seat belts, air bags and graduated driving laws, to being an industry leader in pricing sophistication, telematics, and, more recently, device and identity protection. Job Description Join Allstate Technology Solutions, a pioneering force com",https://www.dice.com/job-detail/e107503b-dee7-462a-8846-f94349754343
Sr. ML Engineer,Qualcomm Technologies,"Remote or Bridgewater, New Jersey",Today,"Company: Qualcomm Technologies, Inc. Job Area: Engineering Group, Engineering Group > Machine Learning Engineering General Summary: Please note: This is a fully remote opportunity open to candidates in NY, NJ and CT, with an expectation to attend company events/meetings in person. Introduction: Are you ready to combine the fast-paced energy of an innovative startup with the resources and stability of a global tech leader? This opportunity blends both worlds into one. Edge Impulse has joined",https://www.dice.com/job-detail/c0f503e3-72f5-44c1-ba90-30413a75391e
Machine Learning Engineer,Allstate Insurance Company,Remote or Illinois,Today,"At Allstate, great things happen when our people work together to protect families and their belongings from life's uncertainties. And for more than 90 years our innovative drive has kept us a step ahead of our customers' evolving needs. From advocating for seat belts, air bags and graduated driving laws, to being an industry leader in pricing sophistication, telematics, and, more recently, device and identity protection. Job Description Join Allstate Technology Solutions, a pioneering force com",https://www.dice.com/job-detail/ae4fdbaf-c9f9-4660-9856-6c739f38b4b0
Machine Learning Engineer,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. NOTE: This job posting is inclusive of a variety of positions within our Algorithms Engineering group. Based on your background, expertise and interests, we will route you t",https://www.dice.com/job-detail/63afd092-84f2-4122-8be7-a820ad296721
Senior AI/ML Engineer - Remote,UnitedHealth Group,"Remote or Bellevue, Washington",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health op",https://www.dice.com/job-detail/e19212a4-04c0-4f3e-92d6-c25b420d75b2
Machine Learning / Artificial Intelligence Intern/Co-Op (PhD | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),"Remote or Austin, Texas",Today,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen",https://www.dice.com/job-detail/49e1c0cd-e795-4630-8469-9c601e67a251
Lead AI/ML Engineer - Remote,UnitedHealth Group,"Remote or Eden Prairie, Minnesota",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us adv",https://www.dice.com/job-detail/3fbff79a-49d1-4861-9376-54002e1a61dc
"Software Technical Lead, Machine Learning Engineer, MLOps infrastructure","Cisco Systems, Inc.",Remote,Today,"Cisco Meraki is revolutionizing the way IT administrators run their infrastructure by providing simple and secure cloud-managed solutions. With a large install base of customers and rich wide-ranging data sets, the potential for data analytics to improve business performance for both our customers and our own business is enormous. About the role The Data Science Infrastructure team is a growing group that works closely with executives and leaders across the company to support the development an",https://www.dice.com/job-detail/0754ce72-9ed0-4c49-8b53-b2bb536f4e5b
"Applied Machine Learning Backend Engineer (L5), Monitoring & Alerting","Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Observability Team provides a platform and suite of products that enable Netflix engineers to monitor service behavior in real time, detect system health anomalies,",https://www.dice.com/job-detail/b0ea53d8-6bdb-4abf-9029-a55efc0d7d93
Machine Learning Software Engineer L4/L5,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. As Netflix continues to grow, so do the opportunities to enhance our personalization systems and algorithms. We're looking for a passionate and talented Software Engineer fo",https://www.dice.com/job-detail/357ca4c9-1583-46e0-8464-fdda531de85a
"Machine Learning Engineer (L5 - Senior) , Ads Inventory Management & Forecasting","Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. We launched a new ad-supported tier in November 2022 to offer our members more choice in how they consume their content. Our new tier allows us to attract new members at a l",https://www.dice.com/job-detail/a17e9585-5d2e-4f0f-9c0f-992572e7316c
"Software Engineer L4/L5, Training Platform, Machine Learning Platform","Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. Machine Learning/Artificial Intelligence powers innovation in all areas of the business, from helping members choose the right title for them through personalization, to bet",https://www.dice.com/job-detail/27773e40-7811-4885-bee4-af4883a3b4fb
Lead AI ML Engineer - Remote,UnitedHealth Group,"Remote or San Francisco, California",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health op",https://www.dice.com/job-detail/e5e78fed-5683-4317-9465-c9de32954bbe
"Software Engineer L5 - Data and Feature Infrastructure, Machine Learning Platform","Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. Machine Learning/Artificial Intelligence powers innovation in all areas of the business, from helping members choose the right title for them through personalization, to bet",https://www.dice.com/job-detail/6a974049-35e1-4151-988c-28fc430c70b2
Machine Learning / Artificial Intelligence Intern/Co-Op (PhD | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),"Remote or San Jose, California",Today,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen",https://www.dice.com/job-detail/7b9adcc7-8033-42cd-8b6c-766363984e11
Machine Learning Engineer II,Chewy,"Boston, Massachusetts",Today,"Our Opportunity: Chewy is growing! The Enterprise People Analytics team at Chewy is building advanced AI and machine learning solutions to redefine HR decision-making. As a Machine Learning Engineer (MLE) focused on AI product development, you will design and deploy innovative machine learning models, mentor junior Team Members, and drive the production of scalable AI solutions that empower Chewy's HR function. This role blends deep technical expertise, critical thinking, and a passion for sol",https://www.dice.com/job-detail/a175c690-d7a4-4399-85d4-0d44e0c0a36e
Test Engineer (Remote) - AI/ML Server Integration,Jabil Circuit Inc,Remote,Today,"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. We are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, manufacturing, and supply chain solutions. With over 50 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processe",https://www.dice.com/job-detail/2629120c-e7e9-4e3f-9337-86cd6625afc4
Machine Learning / Artificial Intelligence Intern/Co-Op (Undergraduate | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),"Remote or San Jose, California",Today,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen",https://www.dice.com/job-detail/22c885a2-67ab-4218-ae15-559d1e6d645c
Software Engineer (L5) - ML - Studio & Creative Production Data Engineering,"Netflix, Inc.","Remote or Los Angeles, California",Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. Netflix is revolutionizing the entertainment industry with world-class technology. We serve 300+ million members across 190+ countries, delivering billions of hours of great",https://www.dice.com/job-detail/8e58206f-53aa-4a37-83dd-3fa038896969
Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),"Remote or Austin, Texas",Today,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen",https://www.dice.com/job-detail/a0ef3d56-084e-4a37-926e-03fc7df05278
Lead AI/ML Software Engineer - Remote,UnitedHealth Group,"Remote or Eden Prairie, Minnesota",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us adv",https://www.dice.com/job-detail/6f83814b-386f-4978-9067-fb73ff629d5b
Lead AI/ML Engineer (NLP) - Remote,UnitedHealth Group,"Remote or Eden Prairie, Minnesota",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us adv",https://www.dice.com/job-detail/c1af3562-5460-4298-812d-cf1998cba251
Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | Fall 2025 | Hybrid),AMD (Advanced Micro Devices),"Remote or San Jose, California",Today,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world's most important challenges. We strive for execution excellen",https://www.dice.com/job-detail/738ca3ab-60d7-47f0-b889-0d4cb9edb3e1
Machine Learning Engineer (USA FULLY REMOTE),Splunk Inc.,Remote or California,Today,"Description Machine Learning Engineer (MLE), Artificial Intelligence Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we're committed to our work, customers, having fun and most importantly to each other's success. Learn more about Splunk careers and how you can become a part of our journey",https://www.dice.com/job-detail/a76cf205-b59e-45ea-bfdd-8e63bb3e9ce5
Machine Learning (ML) Engineer,OpenBrand,Remote,20d ago,"Department: EngineeringLocation: Remote, USA About The Role We're looking for a brilliant Machine Learning Engineer to help our team refine our brandprint recognition platform and develop features that enable rapid growth. You will be chiefly responsible for designing, training, shipping, and documenting customer-facing ML models. In this role, you have the ability to shape the future of our company and the market intelligence industry as whole. To do so, you will need proven experience with",https://www.dice.com/job-detail/5436f00d-64e4-4f55-aa6e-403f830a1631
"Senior Machine Learning Engineer, AI (FULLY REMOTE-USA)",Splunk Inc.,Remote or California,Today,"Description Senior Machine Learning Engineer (MLE), Artificial Intelligence Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we're committed to our work, customers, having fun and most importantly to each other's success. Learn more about Splunk careers and how you can become a part of our",https://www.dice.com/job-detail/077295ce-c0ed-438d-bbf6-32850863c102
Principal Data Science ML Engineer - Hybrid - Seattle,Nordstrom,"Remote or Seattle, Washington",Today,"Job Description As a Principal Machine Learning Engineers at Nordstrom you will have the opportunity to develop and implement advanced machine learning systems and infrastructure, focusing on Merchandising, Supply Chain, and Inventory helping Nordstrom optimize profit while improving the customer experience. The Principal ML Engineer will collaborate closely with data scientists, software engineers, and product teams to translate complex business problems into production-ready solutions. You wi",https://www.dice.com/job-detail/7b92ffb6-c811-4c52-a213-927376c999a3
Senior Principal Machine Learning Engineer-AI (FULLY REMOTE),Splunk Inc.,"Remote or San Jose, California",Today,"Description Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and seek to deliver the best experience for our customers. At Splunk, we're committed to our work, customers, having fun and most importantly to each other's success. Learn more about Splunk careers and how you can become a part of our journey! Role: As the Senior Principal Machine Learning Enginee",https://www.dice.com/job-detail/c4830860-9206-45c3-a710-51e8c25dc61b
Data Scientist / Machine Learning Engineer/LLM,CloudBCLabs,"Remote or Hybrid in Reston, Virginia",26d ago,"Job Title: Data Scientist / Machine Learning Engineer/LLM Location: Reston, VA (Remote) Duration: Long term Job Type : FTE/W2 (Any Visa) Key Responsibilities: Develop and deploy machine learning models using LLMs, NLP, and General AI techniques.Utilize Langchain / llamaindex for advanced language processing tasks.Implement solutions using Python, Vector DBs, and data analysis tools such as Jupyter Notebook, AWS SageMaker, and Scikit-learn.Containerize applications using Docker and manage depend",https://www.dice.com/job-detail/85d2070a-1346-4fde-95bf-2ffbb0f6e1fe
Lead/Senior Full Stack Engineer (Node & React) with AI/ML,"iSpace, Inc",Remote,8d ago,"Only on W2, NO C2C/1099 Title: Lead Full Stack Engineer (Node & React) with AI/ML Position type: 12+ Months contract to start (could go for over 1-2 years) Location: Remote Top Skills: Node. JS, React, State Management, MySQL, AWS, Docker, Kubernetes, Open AI/Chat GPT, lead experience with both onshore and offshore. Qualifications: 7+ years of experience building complex web applications.Solid work experience using component-based development on the client side.Proficiency with front-end techn",https://www.dice.com/job-detail/c1251fc6-d644-4740-a4ae-3fd0e9f61f16
AI/ML Engineering Technical Writer,Synergis,Remote,Yesterday,"AI/ML Engineering Technical Writer Remote in US Direct Hire Salary + Benefits We are looking to hire a vendor Tech Writer to support AI Education projects, beginning with a 12 month contract. Looking for someone with a solid AI/ML Engineering background with strong technical documentation skills. This is a highly technical role - will be writing about how machine learning and models work through coding expertise Requirements for role: We would like to hire 1 vendor Tech Writer to work on AI e",https://www.dice.com/job-detail/acd655db-d538-45e0-8418-52c1aff10b71
Machine Learning,Talent Groups,Remote,Yesterday,"Job Description: Seeking a Deep Learning expert with strong PyTorch skills, proven experience in training transformer models from scratch, and a passion for continuous learning actively upskilling in cutting-edge Agentic AI"" Must have extensively worked on PyTorchKeywords like: Transformer architecture, training models from scratch, attention mechanisms, sequence-to-sequence models, encoder-decoder, BERT, Good to have knowledge in Agentic AI (framework like: LangGraph, Semantic KernelMachine Lea",https://www.dice.com/job-detail/33874691-1df8-4245-9a3a-3d44800b3185
"Associate Director, AI & ML",IO Associates,"Boston, Massachusetts",Today,"Associate Director: Machine Learning (Drug Discovery) Location: Boston, MA (Hybrid or Remote - U.S. Based) Employment Type: Full-time | Permanent About the Opportunity iO are seeking an Associate Director for one of our leading customers to lead the implementation of advanced machine learning strategies across its therapeutic discovery programs. This is a highly technical and hands-on role, focused on building production-grade AI/ML systems to accelerate the identification of novel drug targets",https://www.dice.com/job-detail/93780729-b5b1-4e15-81f0-dd8d645d4a85
"Manager II, Machine Learning - Notifications Delivery Science","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/7f9cac36-0e64-4796-b956-729857ab8160
Senior Director AI/ML Engineering - Remote,UnitedHealth Group,"Remote or Eden Prairie, Minnesota",Today,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us adv",https://www.dice.com/job-detail/457eace2-d1c5-4e76-b22f-7edcc28c0bc7
AI/ML Product Manager,Stellar IT Solutions,"Remote or Miami, Florida",Today,"Job Title: AI/ML Product Manager Job Location: Remote Job Duration: 6 Months Interview: Virtual Job Summary: We are seeking an experienced AI/ML Product Manager with a strong background in the healthcare industry. This role requires deep domain expertise in healthcare operations, compliance, and interoperability, along with a proven ability to manage the full lifecycle of AI/ML-based products. The ideal candidate will have experience working with Microsoft Fabric and related data platforms,",https://www.dice.com/job-detail/e2451c09-74ed-4e06-b4b7-bd21516175ec
